Date, Open, High, Low, Close
03/23/21, 6726.10, 6726.10, 6664.76, 6699.19
03/22/21, 6708.71, 6732.67, 6650.96, 6726.10
03/19/21, 6779.68, 6779.68, 6664.56, 6708.71
03/18/21, 6762.67, 6791.76, 6740.53, 6779.68
03/17/21, 6803.61, 6805.73, 6753.82, 6762.67
03/16/21, 6749.70, 6812.78, 6749.64, 6803.61
03/15/21, 6761.47, 6804.91, 6723.67, 6749.70
03/12/21, 6736.96, 6766.44, 6709.00, 6761.47
03/11/21, 6725.60, 6755.32, 6699.34, 6736.96
03/10/21, 6730.34, 6740.77, 6677.02, 6725.60
03/09/21, 6719.13, 6786.80, 6689.90, 6730.34
03/08/21, 6630.52, 6726.40, 6612.74, 6719.13
03/05/21, 6650.88, 6710.80, 6560.79, 6630.52
03/04/21, 6675.47, 6675.47, 6581.19, 6650.88
03/03/21, 6613.75, 6705.30, 6613.75, 6675.47
03/02/21, 6588.53, 6660.82, 6560.91, 6613.75
03/01/21, 6483.43, 6612.74, 6483.43, 6588.53
02/26/21, 6651.96, 6651.96, 6465.57, 6483.43
02/25/21, 6658.97, 6702.88, 6644.68, 6651.96
02/24/21, 6625.94, 6669.86, 6572.28, 6658.97
02/23/21, 6612.24, 6675.42, 6555.88, 6625.94
02/22/21, 6624.02, 6624.71, 6545.93, 6612.24
02/19/21, 6617.15, 6646.16, 6600.59, 6624.02
02/18/21, 6710.90, 6721.76, 6591.43, 6617.15
02/17/21, 6748.86, 6760.29, 6701.59, 6710.90
02/16/21, 6756.11, 6799.92, 6736.85, 6748.86
02/15/21, 6589.79, 6775.37, 6589.79, 6756.11
02/12/21, 6528.72, 6589.79, 6485.13, 6589.79
02/11/21, 6524.36, 6554.15, 6514.92, 6528.72
02/10/21, 6531.56, 6577.00, 6481.02, 6524.36
02/09/21, 6523.53, 6540.97, 6501.02, 6531.56
02/08/21, 6489.33, 6567.70, 6489.33, 6523.53
02/05/21, 6503.72, 6518.65, 6457.60, 6489.33
02/04/21, 6507.82, 6553.37, 6478.15, 6503.72
02/03/21, 6516.65, 6573.10, 6489.51, 6507.82
02/02/21, 6466.42, 6523.51, 6466.42, 6516.65
02/01/21, 6407.46, 6495.56, 6407.46, 6466.42
01/29/21, 6526.15, 6526.15, 6397.24, 6407.46
01/28/21, 6567.37, 6567.37, 6439.55, 6526.15
01/27/21, 6654.01, 6661.31, 6505.84, 6567.37
01/26/21, 6638.85, 6702.35, 6636.34, 6654.01
01/25/21, 6695.07, 6714.61, 6610.26, 6638.85
01/22/21, 6715.42, 6715.66, 6651.71, 6695.07
01/21/21, 6740.39, 6776.92, 6715.42, 6715.42
01/20/21, 6712.95, 6751.81, 6697.46, 6740.39
01/19/21, 6720.65, 6770.66, 6697.67, 6712.95
01/18/21, 6735.71, 6741.47, 6709.33, 6720.65
01/15/21, 6801.96, 6802.05, 6676.55, 6735.71
01/14/21, 6745.52, 6801.96, 6736.78, 6801.96
01/13/21, 6754.11, 6772.57, 6736.01, 6745.52
01/12/21, 6798.48, 6816.65, 6738.21, 6754.11
01/11/21, 6873.26, 6873.26, 6768.72, 6798.48
01/08/21, 6856.96, 6886.34, 6836.08, 6873.26
01/07/21, 6841.86, 6903.61, 6795.11, 6856.96
01/06/21, 6612.25, 6859.14, 6611.87, 6841.86
