"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 23, 2021","16,177.59","16,250.20","16,351.38","16,166.29","7.29B","-0.07%"
"Mar 22, 2021","16,189.22","16,065.50","16,235.63","15,983.77","7.09B","0.74%"
"Mar 19, 2021","16,070.24","16,186.46","16,186.46","16,022.17","6.75B","-1.34%"
"Mar 18, 2021","16,287.84","16,264.61","16,410.02","16,264.61","5.69B","0.44%"
"Mar 17, 2021","16,215.82","16,312.98","16,349.21","16,166.35","4.91B","-0.60%"
"Mar 16, 2021","16,313.16","16,253.93","16,340.66","16,244.99","5.05B","0.39%"
"Mar 15, 2021","16,249.33","16,256.58","16,281.91","16,194.91","4.68B","-0.04%"
"Mar 12, 2021","16,255.18","16,241.55","16,298.03","16,166.35","4.91B","0.47%"
"Mar 11, 2021","16,179.56","15,947.21","16,216.22","15,947.21","5.11B","1.68%"
"Mar 10, 2021","15,911.67","15,921.45","15,986.07","15,857.32","4.34B","0.37%"
"Mar 09, 2021","15,853.09","15,715.07","15,864.26","15,657.92","5.44B","0.21%"
"Mar 08, 2021","15,820.11","15,943.37","16,074.97","15,816.50","4.75B","-0.22%"
"Mar 05, 2021","15,855.23","15,759.58","15,934.43","15,636.43","4.71B","-0.32%"
"Mar 04, 2021","15,906.41","16,091.75","16,091.75","15,840.99","5.82B","-1.88%"
"Mar 03, 2021","16,211.73","15,992.32","16,211.73","15,884.55","5.47B","1.66%"
"Mar 02, 2021","15,946.88","16,127.87","16,262.91","15,946.88","6.31B","-0.04%"
"Feb 26, 2021","15,953.80","16,190.04","16,190.04","15,953.80","7.62B","-3.03%"
"Feb 25, 2021","16,452.18","16,376.80","16,474.05","16,322.27","6.96B","1.48%"
"Feb 24, 2021","16,212.53","16,329.54","16,456.94","16,212.53","6.50B","-1.40%"
"Feb 23, 2021","16,443.40","16,320.88","16,467.75","16,211.75","6.51B","0.20%"
"Feb 22, 2021","16,410.16","16,445.87","16,579.17","16,410.16","6.38B","0.42%"
"Feb 19, 2021","16,341.38","16,376.91","16,382.70","16,211.25","5.57B","-0.51%"
"Feb 18, 2021","16,424.51","16,366.23","16,517.73","16,323.22","5.81B","0.39%"
"Feb 17, 2021","16,360.01","16,296.73","16,404.92","16,236.42","5.60B","3.53%"
"Feb 05, 2021","15,802.40","15,805.76","15,938.09","15,774.34","4.31B","0.61%"
"Feb 04, 2021","15,706.22","15,697.75","15,801.37","15,606.74","4.22B","-0.41%"
"Feb 03, 2021","15,771.32","15,828.64","15,896.40","15,741.16","5.02B","0.07%"
"Feb 02, 2021","15,760.05","15,546.69","15,838.15","15,546.69","4.97B","2.27%"
"Feb 01, 2021","15,410.09","15,176.56","15,429.98","15,089.96","4.41B","1.80%"
"Jan 29, 2021","15,138.31","15,544.36","15,603.41","15,138.31","5.55B","-1.80%"
"Jan 28, 2021","15,415.88","15,519.85","15,557.02","15,367.45","5.14B","-1.82%"
"Jan 27, 2021","15,701.45","15,711.76","15,837.47","15,642.12","4.29B","0.27%"
"Jan 26, 2021","15,658.85","15,955.16","16,023.87","15,589.21","4.53B","-1.80%"
"Jan 25, 2021","15,946.54","16,006.21","16,014.96","15,772.63","4.67B","-0.45%"
"Jan 22, 2021","16,019.03","15,984.89","16,138.04","15,973.02","5.02B","-0.83%"
"Jan 21, 2021","16,153.77","15,775.73","16,238.46","15,775.73","5.27B","2.20%"
"Jan 20, 2021","15,806.18","15,934.85","16,004.32","15,745.48","7.30B","-0.45%"
"Jan 19, 2021","15,877.37","15,716.64","15,928.14","15,716.64","5.52B","1.70%"
"Jan 18, 2021","15,612.00","15,676.45","15,676.45","15,320.97","5.43B","-0.03%"
"Jan 15, 2021","15,616.39","15,987.16","16,041.59","15,615.11","6.42B","-0.58%"
"Jan 14, 2021","15,707.19","15,651.20","15,760.15","15,620.96","5.57B","-0.40%"
"Jan 13, 2021","15,769.98","15,550.16","15,778.52","15,550.16","5.90B","1.74%"
"Jan 12, 2021","15,500.70","15,549.53","15,642.03","15,421.23","6.40B","-0.36%"
"Jan 11, 2021","15,557.30","15,425.58","15,557.30","15,395.73","5.32B","0.60%"
"Jan 08, 2021","15,463.95","15,365.13","15,463.95","15,275.38","6.19B","1.64%"
"Jan 07, 2021","15,214.00","15,059.52","15,270.40","15,049.86","5.88B","1.54%"
"Jan 06, 2021","14,983.13","15,145.85","15,197.68","14,837.00","7.79B","-0.11%"
"Jan 05, 2021","15,000.03","14,913.64","15,000.03","14,861.99","6.30B","0.66%"
"Jan 04, 2021","14,902.03","14,720.25","14,937.13","14,720.25","6.49B","1.15%"
"Dec 31, 2020","14,732.53","14,704.53","14,760.06","14,646.33","5.88B","0.31%"
"Dec 30, 2020","14,687.70","14,485.97","14,695.44","14,476.69","6.21B","1.49%"
"Dec 29, 2020","14,472.05","14,500.91","14,547.07","14,435.03","7.40B","-0.08%"
"Dec 28, 2020","14,483.07","14,363.45","14,483.07","14,363.45","6.28B","1.06%"
"Dec 25, 2020","14,331.42","14,306.98","14,400.83","14,296.97","5.38B","0.36%"
"Dec 24, 2020","14,280.28","14,256.29","14,324.42","14,256.29","5.38B","0.40%"
"Dec 23, 2020","14,223.09","14,180.70","14,247.79","14,134.87","5.54B","0.32%"
"Dec 22, 2020","14,177.46","14,348.11","14,411.93","14,175.69","8.02B","-1.44%"
"Dec 21, 2020","14,384.96","14,273.79","14,384.96","14,166.89","6.28B","0.95%"
"Dec 18, 2020","14,249.96","14,268.13","14,329.12","14,245.60","5.69B","-0.06%"
"Dec 17, 2020","14,258.93","14,326.16","14,338.40","14,213.49","4.30B","-0.32%"
"Dec 16, 2020","14,304.46","14,145.24","14,339.50","14,145.24","4.86B","1.68%"
"Dec 15, 2020","14,068.52","14,206.33","14,256.55","14,053.35","6.31B","-1.00%"
"Dec 14, 2020","14,211.05","14,238.92","14,270.34","14,182.25","5.73B","-0.36%"
"Dec 11, 2020","14,261.69","14,298.59","14,353.17","14,081.42","6.40B","0.09%"
"Dec 10, 2020","14,249.49","14,295.15","14,319.38","14,191.85","6.33B","-0.98%"
"Dec 09, 2020","14,390.14","14,336.69","14,427.41","14,336.69","6.29B","0.21%"
"Dec 08, 2020","14,360.40","14,251.94","14,367.00","14,184.58","6.40B","0.73%"
"Dec 07, 2020","14,256.60","14,230.00","14,306.87","14,142.02","8.16B","0.88%"
"Dec 04, 2020","14,132.44","14,010.17","14,149.56","14,010.17","6.85B","1.11%"
"Dec 03, 2020","13,977.09","13,988.49","14,049.58","13,940.07","6.08B","-0.09%"
"Dec 02, 2020","13,989.14","13,970.51","13,995.70","13,894.70","6.59B","0.75%"
"Dec 01, 2020","13,885.67","13,810.55","13,885.67","13,749.71","6.56B","1.19%"
"Nov 30, 2020","13,722.89","13,917.65","13,969.39","13,722.89","7.45B","-1.04%"
"Nov 27, 2020","13,867.09","13,833.21","13,885.01","13,811.81","4.86B","0.15%"
"Nov 26, 2020","13,845.66","13,763.79","13,856.76","13,763.79","4.60B","0.78%"
"Nov 25, 2020","13,738.83","13,860.95","13,893.20","13,731.81","5.16B","-0.49%"
"Nov 24, 2020","13,807.13","13,918.84","13,951.17","13,798.32","5.15B","-0.51%"
"Nov 23, 2020","13,878.01","13,793.55","13,921.16","13,793.55","4.44B","1.18%"
"Nov 20, 2020","13,716.44","13,702.59","13,726.22","13,666.07","3.87B","-0.04%"
"Nov 19, 2020","13,722.43","13,775.26","13,785.92","13,700.04","3.97B","-0.37%"
"Nov 18, 2020","13,773.29","13,628.42","13,773.29","13,608.72","4.14B","1.33%"
"Nov 17, 2020","13,593.01","13,723.77","13,780.12","13,593.01","4.12B","0.30%"
"Nov 16, 2020","13,551.83","13,356.74","13,551.83","13,356.74","3.86B","2.10%"
"Nov 13, 2020","13,273.33","13,221.80","13,273.33","13,170.12","3.53B","0.39%"
"Nov 12, 2020","13,221.78","13,324.86","13,324.86","13,193.74","3.94B","-0.30%"
"Nov 11, 2020","13,262.19","13,067.04","13,262.19","13,067.04","5.11B","1.38%"
"Nov 10, 2020","13,081.72","13,090.65","13,142.22","13,022.92","4.77B","-0.35%"
"Nov 09, 2020","13,127.47","13,053.98","13,149.90","13,048.67","3.70B","1.19%"
"Nov 06, 2020","12,973.53","12,952.49","12,999.16","12,927.30","3.22B","0.42%"
"Nov 05, 2020","12,918.80","12,899.45","12,918.80","12,840.61","2.95B","0.40%"
"Nov 04, 2020","12,867.90","12,766.86","12,885.28","12,736.02","3.34B","1.04%"
"Nov 03, 2020","12,736.01","12,641.28","12,760.14","12,641.28","2.95B","1.15%"
"Nov 02, 2020","12,591.31","12,565.32","12,594.34","12,480.66","2.95B","0.36%"
"Oct 30, 2020","12,546.34","12,651.35","12,656.29","12,546.34","3.92B","-0.92%"
"Oct 29, 2020","12,662.91","12,687.64","12,699.82","12,583.37","3.74B","-1.02%"
"Oct 28, 2020","12,793.75","12,853.76","12,879.98","12,761.33","3.66B","-0.63%"
"Oct 27, 2020","12,875.01","12,867.77","12,884.32","12,821.07","3.58B","-0.26%"
"Oct 26, 2020","12,909.03","12,923.55","12,971.58","12,894.18","4.29B","0.08%"
"Oct 23, 2020","12,898.82","12,945.12","12,963.26","12,875.23","3.53B","-0.14%"
"Oct 22, 2020","12,917.03","12,854.97","12,917.03","12,827.40","3.68B","0.31%"
"Oct 21, 2020","12,877.25","12,889.88","12,942.12","12,846.42","3.42B","0.12%"
"Oct 20, 2020","12,862.37","12,889.99","12,917.75","12,862.37","2.62B","-0.36%"
"Oct 19, 2020","12,908.34","12,803.32","12,911.41","12,803.32","2.97B","1.24%"
"Oct 16, 2020","12,750.37","12,814.16","12,896.30","12,750.37","3.72B","-0.60%"
"Oct 15, 2020","12,827.82","12,892.29","12,909.11","12,786.26","3.58B","-0.71%"
"Oct 14, 2020","12,919.31","12,927.09","12,960.00","12,895.79","3.67B","-0.21%"
"Oct 13, 2020","12,947.13","12,988.44","12,994.66","12,857.10","3.35B","-0.07%"
"Oct 12, 2020","12,955.91","12,959.15","12,997.79","12,898.89","3.71B","0.53%"
"Oct 08, 2020","12,887.19","12,832.54","12,887.19","12,818.01","3.43B","1.10%"
"Oct 07, 2020","12,746.37","12,667.51","12,774.36","12,619.81","2.87B","0.33%"
"Oct 06, 2020","12,704.23","12,644.09","12,706.39","12,644.09","3.06B","1.24%"
"Oct 05, 2020","12,548.28","12,567.88","12,637.62","12,519.12","2.88B","0.26%"
"Sep 30, 2020","12,515.61","12,483.65","12,568.68","12,466.58","2.46B","0.38%"
"Sep 29, 2020","12,467.73","12,488.10","12,571.34","12,429.72","2.89B","0.04%"
"Sep 28, 2020","12,462.76","12,282.36","12,462.76","12,282.36","3.00B","1.88%"
"Sep 25, 2020","12,232.91","12,312.94","12,385.81","12,149.81","4.29B","-0.26%"
"Sep 24, 2020","12,264.38","12,487.48","12,487.48","12,264.38","4.70B","-2.54%"
"Sep 23, 2020","12,583.88","12,656.30","12,700.89","12,548.07","3.55B","-0.49%"
