"Date","Price","Open","High","Low","Change %"
"Mar 23, 2021","72.550","72.395","72.555","72.268","0.25%"
"Mar 22, 2021","72.370","72.469","72.528","72.305","-0.04%"
"Mar 19, 2021","72.401","72.673","72.732","72.413","-0.40%"
"Mar 18, 2021","72.690","72.362","72.724","72.320","0.18%"
"Mar 17, 2021","72.557","72.537","72.636","72.501","0.06%"
"Mar 16, 2021","72.510","72.525","72.643","72.365","-0.03%"
"Mar 15, 2021","72.530","72.685","72.786","72.381","-0.21%"
"Mar 12, 2021","72.680","72.683","72.871","72.625","-0.01%"
"Mar 11, 2021","72.690","72.749","72.801","72.583","-0.04%"
"Mar 10, 2021","72.720","72.803","73.107","72.729","-0.06%"
"Mar 09, 2021","72.766","73.321","73.386","72.776","-0.80%"
"Mar 08, 2021","73.350","73.210","73.417","72.927","0.23%"
"Mar 05, 2021","73.180","73.063","73.217","72.740","0.61%"
"Mar 04, 2021","72.733","72.882","73.109","72.598","-0.27%"
"Mar 03, 2021","72.930","73.260","73.292","72.688","-0.44%"
"Mar 02, 2021","73.250","73.380","73.532","73.260","-0.20%"
"Mar 01, 2021","73.396","73.585","73.783","73.167","-0.71%"
"Feb 26, 2021","73.920","72.975","74.060","72.946","1.63%"
"Feb 25, 2021","72.736","72.412","72.776","72.282","0.49%"
"Feb 24, 2021","72.380","72.382","72.470","72.263","0.00%"
"Feb 23, 2021","72.380","72.465","72.564","72.308","-0.08%"
"Feb 22, 2021","72.440","72.575","72.601","72.285","-0.15%"
"Feb 19, 2021","72.550","72.585","72.732","72.418","-0.04%"
"Feb 18, 2021","72.580","72.837","72.837","72.537","-0.32%"
"Feb 17, 2021","72.815","72.915","72.970","72.725","-0.06%"
"Feb 16, 2021","72.860","72.620","72.917","72.601","0.33%"
"Feb 15, 2021","72.618","72.613","72.700","72.513","0.05%"
"Feb 12, 2021","72.580","72.706","72.830","72.560","-0.17%"
"Feb 11, 2021","72.700","72.815","72.895","72.665","-0.12%"
"Feb 10, 2021","72.790","72.865","72.903","72.775","-0.09%"
"Feb 09, 2021","72.854","72.930","72.962","72.826","-0.10%"
"Feb 08, 2021","72.930","72.829","73.009","72.776","0.16%"
"Feb 05, 2021","72.810","72.986","73.043","72.775","-0.19%"
"Feb 04, 2021","72.950","72.823","73.003","72.823","0.19%"
"Feb 03, 2021","72.810","72.950","73.018","72.810","-0.12%"
"Feb 02, 2021","72.899","73.030","73.104","72.897","-0.29%"
"Feb 01, 2021","73.110","72.918","73.195","72.809","0.32%"
"Jan 29, 2021","72.877","72.930","73.037","72.814","-0.07%"
"Jan 28, 2021","72.931","73.022","73.186","72.893","-0.18%"
"Jan 27, 2021","73.060","72.920","73.101","72.785","0.21%"
"Jan 26, 2021","72.910","72.958","73.144","72.854","-0.07%"
"Jan 25, 2021","72.960","72.977","73.026","72.878","-0.03%"
