Date,Price,Open,High,Low,Change %
"Jan 03, 2000",6.593999999999999,6.593999999999999,6.593999999999999,6.593999999999999,2.47%
"Jan 04, 2000",6.499,6.499,6.499,6.499,-1.44%
"Jan 05, 2000",6.599,6.599,6.599,6.599,1.54%
"Jan 06, 2000",6.54,6.54,6.54,6.54,-0.89%
"Jan 07, 2000",6.513,6.513,6.513,6.513,-0.41%
"Jan 10, 2000",6.553999999999999,6.553999999999999,6.553999999999999,6.553999999999999,0.63%
"Jan 11, 2000",6.659,6.659,6.659,6.659,1.60%
"Jan 12, 2000",6.7010000000000005,6.7010000000000005,6.7010000000000005,6.7010000000000005,0.63%
"Jan 13, 2000",6.632000000000001,6.632000000000001,6.632000000000001,6.632000000000001,-1.03%
"Jan 14, 2000",6.688,6.688,6.688,6.688,0.84%
"Jan 17, 2000",6.683,6.683,6.683,6.683,-0.07%
"Jan 18, 2000",6.752999999999999,6.752999999999999,6.752999999999999,6.752999999999999,1.05%
"Jan 19, 2000",6.73,6.73,6.73,6.73,-0.34%
"Jan 20, 2000",6.79,6.79,6.79,6.79,0.89%
"Jan 21, 2000",6.772,6.772,6.772,6.772,-0.27%
"Jan 24, 2000",6.689,6.689,6.689,6.689,-1.23%
"Jan 25, 2000",6.694,6.694,6.694,6.694,0.07%
"Jan 26, 2000",6.666,6.666,6.666,6.666,-0.42%
"Jan 27, 2000",6.699,6.699,6.699,6.699,0.50%
"Jan 28, 2000",6.6579999999999995,6.6579999999999995,6.6579999999999995,6.6579999999999995,-0.61%
"Jan 31, 2000",6.662000000000001,6.662000000000001,6.662000000000001,6.662000000000001,0.06%
"Feb 01, 2000",6.626,6.626,6.626,6.626,-0.54%
"Feb 02, 2000",6.575,6.575,6.575,6.575,-0.77%
"Feb 03, 2000",6.4479999999999995,6.4479999999999995,6.4479999999999995,6.4479999999999995,-1.93%
"Feb 04, 2000",6.558,6.558,6.558,6.558,1.71%
"Feb 07, 2000",6.645,6.645,6.645,6.645,1.33%
"Feb 08, 2000",6.617999999999999,6.617999999999999,6.617999999999999,6.617999999999999,-0.41%
"Feb 09, 2000",6.669,6.669,6.669,6.669,0.77%
"Feb 10, 2000",6.672999999999999,6.672999999999999,6.672999999999999,6.672999999999999,0.06%
"Feb 11, 2000",6.595,6.595,6.595,6.595,-1.17%
"Feb 14, 2000",6.56,6.56,6.56,6.56,-0.53%
"Feb 15, 2000",6.5520000000000005,6.5520000000000005,6.5520000000000005,6.5520000000000005,-0.12%
"Feb 16, 2000",6.542999999999999,6.542999999999999,6.542999999999999,6.542999999999999,-0.14%
"Feb 17, 2000",6.56,6.56,6.56,6.56,0.26%
"Feb 18, 2000",6.483,6.483,6.483,6.483,-1.17%
"Feb 22, 2000",6.3629999999999995,6.3629999999999995,6.3629999999999995,6.3629999999999995,-1.85%
"Feb 23, 2000",6.422000000000001,6.422000000000001,6.422000000000001,6.422000000000001,0.93%
"Feb 24, 2000",6.367000000000001,6.367000000000001,6.367000000000001,6.367000000000001,-0.86%
"Feb 25, 2000",6.337000000000001,6.337000000000001,6.337000000000001,6.337000000000001,-0.47%
"Feb 28, 2000",6.417999999999999,6.417999999999999,6.417999999999999,6.417999999999999,1.28%
"Feb 29, 2000",6.409,6.409,6.409,6.409,-0.14%
"Mar 01, 2000",6.3839999999999995,6.3839999999999995,6.3839999999999995,6.3839999999999995,-0.39%
"Mar 02, 2000",6.388,6.388,6.388,6.388,0.06%
"Mar 03, 2000",6.379,6.379,6.379,6.379,-0.14%
"Mar 06, 2000",6.412999999999999,6.412999999999999,6.412999999999999,6.412999999999999,0.53%
"Mar 07, 2000",6.371,6.371,6.371,6.371,-0.65%
"Mar 08, 2000",6.392,6.392,6.392,6.392,0.33%
"Mar 09, 2000",6.349,6.349,6.349,6.349,-0.67%
"Mar 10, 2000",6.3870000000000005,6.3870000000000005,6.3870000000000005,6.3870000000000005,0.60%
"Mar 13, 2000",6.37,6.37,6.37,6.37,-0.27%
"Mar 14, 2000",6.294,6.294,6.294,6.294,-1.19%
"Mar 15, 2000",6.285,6.285,6.285,6.285,-0.14%
"Mar 16, 2000",6.247000000000001,6.247000000000001,6.247000000000001,6.247000000000001,-0.60%
"Mar 17, 2000",6.204,6.204,6.204,6.204,-0.69%
"Mar 20, 2000",6.192,6.192,6.192,6.192,-0.19%
"Mar 21, 2000",6.141,6.141,6.141,6.141,-0.82%
"Mar 22, 2000",6.12,6.12,6.12,6.12,-0.34%
"Mar 23, 2000",6.087000000000001,6.087000000000001,6.087000000000001,6.087000000000001,-0.54%
"Mar 24, 2000",6.191,6.191,6.191,6.191,1.71%
"Mar 27, 2000",6.187,6.187,6.187,6.187,-0.06%
"Mar 28, 2000",6.153,6.153,6.153,6.153,-0.55%
"Mar 29, 2000",6.149,6.149,6.149,6.149,-0.07%
"Mar 30, 2000",6.047999999999999,6.047999999999999,6.047999999999999,6.047999999999999,-1.64%
"Mar 31, 2000",6.002000000000001,6.002000000000001,6.002000000000001,6.002000000000001,-0.76%
"Apr 03, 2000",5.965,5.965,5.965,5.965,-0.62%
"Apr 04, 2000",5.8870000000000005,5.8870000000000005,5.8870000000000005,5.8870000000000005,-1.31%
"Apr 05, 2000",5.87,5.87,5.87,5.87,-0.29%
"Apr 06, 2000",5.922999999999999,5.922999999999999,5.922999999999999,5.922999999999999,0.90%
"Apr 07, 2000",5.845,5.845,5.845,5.845,-1.32%
"Apr 10, 2000",5.805,5.805,5.805,5.805,-0.68%
"Apr 11, 2000",5.882999999999999,5.882999999999999,5.882999999999999,5.882999999999999,1.34%
"Apr 12, 2000",5.947,5.947,5.947,5.947,1.09%
"Apr 13, 2000",5.931,5.931,5.931,5.931,-0.27%
"Apr 14, 2000",5.86,5.86,5.86,5.86,-1.20%
"Apr 17, 2000",6.042000000000001,6.042000000000001,6.042000000000001,6.042000000000001,3.11%
"Apr 18, 2000",6.047999999999999,6.047999999999999,6.047999999999999,6.047999999999999,0.10%
"Apr 19, 2000",5.997999999999999,5.997999999999999,5.997999999999999,5.997999999999999,-0.83%
"Apr 20, 2000",6.0,6.0,6.0,6.0,0.03%
"Apr 24, 2000",6.023,6.023,6.023,6.023,0.38%
"Apr 25, 2000",6.1339999999999995,6.1339999999999995,6.1339999999999995,6.1339999999999995,1.84%
"Apr 26, 2000",6.138,6.138,6.138,6.138,0.07%
"Apr 27, 2000",6.227,6.227,6.227,6.227,1.45%
"Apr 28, 2000",6.218,6.218,6.218,6.218,-0.14%
"May 01, 2000",6.284,6.284,6.284,6.284,1.06%
"May 02, 2000",6.303999999999999,6.303999999999999,6.303999999999999,6.303999999999999,0.32%
"May 03, 2000",6.403,6.403,6.403,6.403,1.57%
"May 04, 2000",6.428999999999999,6.428999999999999,6.428999999999999,6.428999999999999,0.41%
"May 05, 2000",6.511,6.511,6.511,6.511,1.28%
"May 08, 2000",6.568,6.568,6.568,6.568,0.88%
"May 09, 2000",6.524,6.524,6.524,6.524,-0.67%
"May 10, 2000",6.457000000000001,6.457000000000001,6.457000000000001,6.457000000000001,-1.03%
"May 11, 2000",6.42,6.42,6.42,6.42,-0.57%
"May 12, 2000",6.524,6.524,6.524,6.524,1.62%
"May 15, 2000",6.452000000000001,6.452000000000001,6.452000000000001,6.452000000000001,-1.10%
"May 16, 2000",6.433,6.433,6.433,6.433,-0.29%
"May 17, 2000",6.489,6.489,6.489,6.489,0.87%
